City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,poyarkovo,49.6,128.6833,10.49,77,12,3.74,RU,1695489377
140,ovalle,-30.5983,-71.2003,26.88,20,9,2.42,CL,1695489377
141,ta`u,-14.2336,-169.5144,25.51,76,100,13.69,AS,1695488975
142,port alfred,-33.5906,26.891,15.66,95,100,0.89,ZA,1695489037
143,washim,20.1,77.15,23.59,91,96,2.17,IN,1695489378
144,isangel,-19.55,169.2667,22.68,88,50,2.96,VU,1695489378
145,mount isa,-20.7333,139.5,21.87,18,0,2.06,AU,1695489116
146,greymouth,-42.4667,171.2,8.1,87,99,1.98,NZ,1695489379
147,flying fish cove,-10.4217,105.6791,23.82,83,100,5.66,CX,1695489005
148,talnakh,69.4865,88.3972,1.23,80,97,8.17,RU,1695488959
149,sassandra,4.95,-6.0833,25.0,90,98,2.76,CI,1695489053
150,petrolina,-9.3986,-40.5008,35.03,34,20,3.6,BR,1695488955
151,college,64.8569,-147.8028,2.67,90,75,0.0,US,1695488954
152,vila franca do campo,37.7167,-25.4333,24.23,68,23,4.33,PT,1695489382
153,brokopondo,4.75,-55.1667,32.24,51,19,0.83,SR,1695489383
154,izluchinsk,60.9794,76.9242,5.01,59,100,5.72,RU,1695489383
155,ancud,-41.8697,-73.8203,9.28,54,88,1.44,CL,1695489002
156,sirte,31.2089,16.5887,28.76,54,0,6.28,LY,1695489385
157,mburucuya,-28.0454,-58.2245,38.33,28,30,5.73,AR,1695489385
158,west island,-12.1568,96.8225,25.99,78,100,7.72,CC,1695488969
159,birjand,32.8663,59.2211,17.26,17,0,3.09,IR,1695489386
160,tazovsky,67.4667,78.7,0.61,77,25,7.28,RU,1695489063
161,kamyanyets,52.4001,23.81,17.37,86,99,2.94,BY,1695489388
162,petropavlovsk-kamchatsky,53.0452,158.6483,5.99,75,71,9.52,RU,1695488951
163,nuuk,64.1835,-51.7216,4.34,56,20,3.6,GL,1695489088
164,hadibu,12.65,54.0333,27.17,80,74,5.73,YE,1695488964
165,fale old settlement,-9.3852,-171.2468,27.57,82,100,7.86,TK,1695488974
